Scenario,Cycle,Time (s),T_parison (°C),T_mold (°C),Initial T_gob (°C),T_air (°C)
Baseline,1,13.36,968.8020949761409,374.7301875495851,1100,50
Baseline,2,26.72,968.801456190413,374.72977555854413,1100,50
Baseline,3,40.08,968.8008675623589,374.7293959304775,1100,50
Baseline,4,53.44,968.800325156121,374.7290461238721,1100,50
Baseline,5,66.8,968.7998253443282,374.7287237967011,1100,50
Baseline,6,80.16,968.7993647839095,374.7284267907823,1100,50
Baseline,7,93.52,968.7989403939285,374.72815311735746,1100,50
Baseline,8,106.88,968.7985493350922,374.72790094380275,1100,50
Baseline,9,120.24,968.7981889906886,374.7276685813844,1100,50
Baseline,10,133.6,968.7978569493121,374.72745447396545,1100,50
Baseline,11,146.95999999999998,968.7975509887393,374.72725718760375,1100,50
Baseline,12,160.32,968.7972690610995,374.72707540096104,1100,50
Baseline,13,173.68,968.7970092792027,374.7269078964646,1100,50
Baseline,14,187.04000000000002,968.7967699039934,374.7267535521642,1100,50
Baseline,15,200.40000000000003,968.7965493328663,374.726611334227,1100,50
Baseline,16,213.76000000000005,968.7963460890321,374.72648029001647,1100,50
Baseline,17,227.12000000000006,968.796158811624,374.72635954172216,1100,50
Baseline,18,240.48000000000008,968.7959862465949,374.72624828048095,1100,50
Baseline,19,253.8400000000001,968.7958272383969,374.7261457609644,1100,50
Baseline,20,267.2000000000001,968.7956807221744,374.7260512963903,1100,50
Baseline,21,280.5600000000001,968.7955457166888,374.7259642539265,1100,50
Baseline,22,293.92000000000013,968.7954213177445,374.72588405045116,1100,50
Baseline,23,307.28000000000014,968.7953066921906,374.72581014865045,1100,50
Baseline,24,320.64000000000016,968.7952010722672,374.72574205342073,1100,50
Baseline,25,334.00000000000017,968.7951037505318,374.7256793085531,1100,50
Baseline,26,347.3600000000002,968.7950140750659,374.72562149368036,1100,50
Baseline,27,360.7200000000002,968.7949314452303,374.72556822145657,1100,50
Baseline,28,374.0800000000002,968.7948553074671,374.72551913496983,1100,50
Baseline,29,387.4400000000002,968.7947851517991,374.7254739053463,1100,50
Baseline,30,400.80000000000024,968.7947205081949,374.7254322295525,1100,50
Baseline,31,414.16000000000025,968.7946609436663,374.72539382835953,1100,50
Baseline,32,427.52000000000027,968.7946060591212,374.72535844448095,1100,50
Baseline,33,440.8800000000003,968.7945554869278,374.7253258408395,1100,50
Baseline,34,454.2400000000003,968.7945088882229,374.72529579898855,1100,50
Baseline,35,467.6000000000003,968.7944659508526,374.72526811764294,1100,50
Baseline,36,480.9600000000003,968.794426387162,374.7252426113316,1100,50
Baseline,37,494.32000000000033,968.794389932061,374.7252191091575,1100,50
Baseline,38,507.68000000000035,968.7943563413464,374.7251974536481,1100,50
Baseline,39,521.0400000000003,968.7943253899286,374.725177499707,1100,50
Baseline,40,534.4000000000003,968.7942968704555,374.7251591136352,1100,50
Baseline,41,547.7600000000003,968.7942705918484,374.72514217224096,1100,50
Baseline,42,561.1200000000003,968.794246378037,374.72512656201036,1100,50
Baseline,43,574.4800000000004,968.7942240667821,374.7251121783483,1100,50
Baseline,44,587.8400000000004,968.7942035086107,374.7250989248793,1100,50
Baseline,45,601.2000000000004,968.7941845657788,374.7250867127992,1100,50
Baseline,46,614.5600000000004,968.7941671113431,374.72507546028226,1100,50
Baseline,47,627.9200000000004,968.794151028391,374.7250650919304,1100,50
Baseline,48,641.2800000000004,968.7941362091263,374.7250555382719,1100,50
Baseline,49,654.6400000000004,968.7941225542818,374.7250467352925,1100,50
Baseline,50,668.0000000000005,968.7941099723629,374.72503862400765,1100,50
Baseline,51,681.3600000000005,968.7940983790522,374.725031150068,1100,50
Baseline,52,694.7200000000005,968.7940876966941,374.7250242633938,1100,50
Baseline,53,708.0800000000005,968.794077853689,374.7250179178412,1100,50
Baseline,54,721.4400000000005,968.794068784102,374.7250120708915,1100,50
Baseline,55,734.8000000000005,968.7940604271438,374.72500668336767,1100,50
Baseline,56,748.1600000000005,968.7940527268432,374.7250017191697,1100,50
Baseline,57,761.5200000000006,968.7940456315753,374.7249971450359,1100,50
Baseline,58,774.8800000000006,968.7940390938547,374.72499293031524,1100,50
Baseline,59,788.2400000000006,968.7940330697925,374.72498904676814,1100,50
Baseline,60,801.6000000000006,968.794027519108,374.72498546837153,1100,50
Baseline,61,814.9600000000006,968.7940224045414,374.72498217114884,1100,50
Baseline,62,828.3200000000006,968.7940176918598,374.7249791330073,1100,50
Baseline,63,841.6800000000006,968.7940133494878,374.7249763335881,1100,50
Baseline,64,855.0400000000006,968.7940093483029,374.7249737541352,1100,50
Baseline,65,868.4000000000007,968.7940056615245,374.7249713773631,1100,50
Baseline,66,881.7600000000007,968.794002264439,374.7249691873467,1100,50
Baseline,67,895.1200000000007,968.7939991342613,374.72496716941225,1100,50
Baseline,68,908.4800000000007,968.7939962500571,374.72496531003776,1100,50
Baseline,69,921.8400000000007,968.7939935924746,374.7249635967643,1100,50
Baseline,70,935.2000000000007,968.7939911437136,374.7249620181125,1100,50
Baseline,71,948.5600000000007,968.7939888873647,374.7249605635036,1100,50
Baseline,72,961.9200000000008,968.7939868083014,374.7249592231911,1100,50
Baseline,73,975.2800000000008,968.7939848926133,374.7249579881945,1100,50
Baseline,74,988.6400000000008,968.7939831274412,374.7249568502381,1100,50
Baseline,75,1002.0000000000008,968.7939815009632,374.72495580169715,1100,50
Baseline,76,1015.3600000000008,968.7939800023015,374.72495483554644,1100,50
Baseline,77,1028.7200000000007,968.7939786213828,374.7249539453125,1100,50
Baseline,78,1042.0800000000006,968.793977348976,374.7249531250286,1100,50
Baseline,79,1055.4400000000005,968.7939761765563,374.7249523691993,1100,50
Baseline,80,1068.8000000000004,968.7939750962597,374.7249516727592,1100,50
Baseline,81,1082.1600000000003,968.7939741008555,374.7249510310415,1100,50
Baseline,82,1095.5200000000002,968.7939731836423,374.72495043974794,1100,50
Baseline,83,1108.88,968.7939723385125,374.72494989491463,1100,50
Baseline,84,1122.24,968.7939715597886,374.7249493928919,1100,50
Baseline,85,1135.6,968.7939708422543,374.7249489303164,1100,50
Baseline,86,1148.9599999999998,968.7939701811137,374.72494850408714,1100,50
Baseline,87,1162.3199999999997,968.7939695719007,374.7249481113492,1100,50
Baseline,88,1175.6799999999996,968.793969010559,374.72494774947126,1100,50
Baseline,89,1189.0399999999995,968.7939684933134,374.7249474160287,1100,50
Baseline,90,1202.3999999999994,968.7939680167322,374.72494710878647,1100,50
Baseline,91,1215.7599999999993,968.793967577601,374.7249468256858,1100,50
Baseline,92,1229.1199999999992,968.7939671729463,374.7249465648302,1100,50
